Unnamed: 0,id,start_x,start_y,minute,blocked_x,blocked_y,shot_outcome,player,is_own_goal,match_id,date,area,from_throw_in,shot_type,from_corner,from_freekick,from_open_play,from_fastbreak,from_penalty,from_setpiece,from_cross_open_play,shot_on_post,angulo_de_tiro,distancia_de_tiro
21734,1559054903.0,7.1,57.5,81.0,,,Goal,Rafael García,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0155440335978227,93.20225319164769
34382,1570299793.0,3.6,57.3,40.0,,,Goal,Luciano Lollo,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0080269883495656,96.67600529604024
29678,1603310728.0,7.0,62.5,31.0,,,Goal,Mariano Bittolo,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0129982259708153,93.83629361819445
14203,1605298868.0,3.8,54.0,26.0,,,Goal,Germán Conti,1.0,,,Outside of the box,False,Head,False,False,False,False,False,True,False,False,0.0095353903254383,96.28312417033425
31299,1644688616.0,4.4,52.8,41.0,,,Goal,Yeimar Gómez,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0115278554449768,95.64099539423458
28179,1648475530.0,1.1,47.0,50.0,,,Goal,Facundo Sánchez,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0036652909513664,98.94549004376096
12962,1657373598.0,24.6,43.9,26.0,,,Goal,Sebastián Palacios,1.0,,,Outside of the box,False,Foot,False,False,False,True,False,False,False,False,0.0713648370255763,75.64634822646762
34523,1671437782.0,4.8,68.0,50.0,,,Goal,Lautaro Gianetti,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0075826549392923,96.8867379985517
17627,1689874785.0,1.0,48.0,38.0,,,Goal,Carlos Auzqui,1.0,,,Outside of the box,False,Foot,True,False,False,False,False,False,False,False,0.003194257745348,99.02019995940222
11600,1691157588.0,4.4,53.2,58.0,,,Goal,Wálter Andrade,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0113555340372243,95.65354149219984
29151,1708054952.0,6.7,52.8,52.0,,,Goal,Nicolás Thaller,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.017393840859437,93.34200554948453
5920,1729096768.0,2.7,54.0,8.0,,,Goal,Agustín Orión,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0067918946116152,97.382185229127
1916,1741929456.0,4.6,49.9,21.0,,,Goal,Ismael Benegas,1.0,,,Outside of the box,False,Other,True,False,False,False,False,False,False,False,0.0134799846064646,95.40005241088708
25807,1780228373.0,9.9,43.0,38.0,,,Goal,Marcelo Meli,1.0,,,Outside of the box,False,Foot,False,False,False,True,False,False,False,False,0.0374604673180769,90.371510997659
14858,1782557442.0,3.6,54.2,46.0,,,Goal,Mauricio Casierra,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0089715557359503,96.49145039846796
22858,1782836054.0,8.8,52.4,93.0,,,Goal,Adrián Balboa,1.0,,,Outside of the box,False,Foot,True,False,False,False,False,False,False,False,0.022921424137066,91.23157348199142
1686,1786848018.0,6.6,49.1,28.0,,,Goal,Kevin Mac Allister,1.0,,,Outside of the box,False,Other,False,False,False,False,False,True,False,False,0.0197895123806101,93.40433608778557
3655,1803565297.0,3.1,44.6,11.0,,,Goal,Osvaldo Barsottini,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0114290845855839,97.05034775826412
6215,1805297328.0,9.1,37.5,78.0,,,Goal,Tomás Cardona,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0451097222630566,91.755435806278
24374,1827147235.0,4.8,42.1,93.0,,,Goal,Ignacio Canuto,1.0,,,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0197140155217365,95.5272212513271
18731,1829299585.0,4.0,55.6,20.0,,,Goal,Miguel Barbieri,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0094633040853764,96.16319462247498
18804,1880466047.0,1.7,53.2,14.0,,,Goal,Lucas Acosta,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0044131529600032,98.35207166094672
28324,1921097973.0,6.3,43.8,48.0,,,Goal,Damián Lemos,1.0,,,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0237088205717692,93.90489870076
12448,1935024006.0,7.5,51.5,39.0,,,Goal,Cristian Romero,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0203674515705656,92.51216136270948
34524,1935515083.0,7.1,52.6,53.0,,,Goal,Lautaro Acosta,1.0,,,Outside of the box,False,Head,False,False,False,False,False,True,False,False,0.0185343188475978,92.93637608600844
23918,1941033646.0,4.7,52.0,31.0,,,Goal,Dylan Gissi,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0126819134404287,95.32098404863432
